Project Name,Package Name,Type Name,Method Name,Test Smell,Cause of the Smell
trello_backend,_G02.trello,BoardServiceTest,testCreateBoard,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
trello_backend,_G02.trello,BoardServiceTest,testFindBoardByID,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
trello_backend,_G02.trello,BoardServiceTest,testAddTaskToBoard,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
trello_backend,_G02.trello,BoardServiceTest,testGetTasksByBoardId,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
trello_backend,_G02.trello,BoardServiceTest,testDeleteTaskFromBoard,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
trello_backend,_G02.trello,BoardServiceTest,testChangeBoardName,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
trello_backend,_G02.trello,BoardServiceTest,testDeleteBoard,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
trello_backend,_G02.trello,BoardServiceTest,testGetAllBoards,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
trello_backend,_G02.trello,TaskServiceTest,testCreateTask,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
trello_backend,_G02.trello,TaskServiceTest,testFindTaskByID,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
trello_backend,_G02.trello,TaskServiceTest,testUpdateTask,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
trello_backend,_G02.trello,TaskServiceTest,testDeleteTask,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
trello_backend,_G02.trello,TaskServiceTest,testGetAllTasks,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
trello_backend,_G02.trello,TaskServiceTest,assignTaskToMember_successful,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
trello_backend,_G02.trello,TrelloBackendApplicationTests,contextLoads,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
trello_backend,_G02.trello,TrelloBackendApplicationTests,contextLoads,Empty test,The tool detected the smell in this test method because the test is empty.
trello_backend,_G02.trello,UserServiceTest,testSuccessfulLogin,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
trello_backend,_G02.trello,UserServiceTest,testAddQuestionAndAnswer,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
trello_backend,_G02.trello,WorkspaceServiceTest,testCreateWorkspace,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
trello_backend,_G02.trello,WorkspaceServiceTest,testAddMember,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
trello_backend,_G02.trello,WorkspaceServiceTest,testRemoveMember,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
trello_backend,_G02.trello,WorkspaceServiceTest,testGetAllMembersId,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
trello_backend,_G02.trello,WorkspaceServiceTest,testChangeWorkspaceDetails,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
trello_backend,_G02.trello,WorkspaceServiceTest,testFindWorkspaceByID,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
trello_backend,_G02.trello,WorkspaceServiceTest,testGetAllMembers,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
trello_backend,_G02.trello,WorkspaceServiceTest,testGetAllBoardsByWorkspaceId,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
trello_backend,_G02.trello,WorkspaceServiceTest,testGetAllWorkspacesByUserId,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
trello_backend,_G02.trello,WorkspaceServiceTest,testAddBoardToWorkspace,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
trello_backend,_G02.trello,WorkspaceServiceTest,testDeleteBoardFromWorkspace,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
trello_backend,_G02.trello,WorkspaceServiceTest,testDeleteWorkspace,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
trello_backend,_G02.trello,WorkspaceServiceTest,testGetAllWorkspaces,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
